nom,type,fiabilite,connecteur,frequence,ville,adresse,biais_connu
"Avis publics — RONA+ Québec (Bouvier)","Secondaire","Pauvre","Apify","Hebdomadaire","Québec","https://maps.google.com/?cid=10142058467232896591","Avis publics : surreprésentent les expériences extrêmes. Échantillon figé le 6 septembre 2026 : note 3,8 sur 1199 avis."
"Avis publics — RONA+ Trois-Rivières","Secondaire","Pauvre","Apify","Hebdomadaire","Trois-Rivières","https://maps.google.com/?cid=2972223134191496703","Avis publics : surreprésentent les expériences extrêmes. Échantillon figé le 6 septembre 2026 : note 4,0 sur 947 avis."
"BMR — actualités (tient lieu de salle de presse)","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.bmr.ca/fr/actualites","Page d'actualités officielle de BMR : ne publie que les annonces favorables à son image; les fermetures, difficultés ou reculs n'y sont généralement pas annoncés.

Vérifié le 9 septembre 2026 : la page liste rend 10 éléments pour 2026 mais N'AFFICHE AUCUNE DATE. La collecte se fait donc en deux temps, liste puis ouverture de chaque article pour récupérer sa date et son extrait, comme pour la page de relations médias de Home Depot.

Deux signaux repérés le 9 septembre 2026, NON FICHÉS faute de date exploitable, à trancher par l'équipe :
1. Un affichage au siège social évoque « un programme de transformation majeur visant à regrouper les opérations au sein d'un centre de distribution unique », avec automatisation et plan de transition. C'est le signal de consolidation logistique le plus net du cycle, mais aucune date de publication ne figure sur la page.
2. Trois nominations de vice-présidents (Opérations; Commercialisation; Réseau et exploitation des magasins), avec entrée en fonction « le 21 septembre » SANS MILLÉSIME.
Application de la règle : en cas de doute sur la date, aucune fiche. Ces deux signaux restent à dater avant de pouvoir entrer dans la base."
"BMR — emplois entrepôts","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.bmr.ca/fr/emplois-entrepots","Page officielle des postes en centre de distribution de BMR. Vérifiée le 8 septembre 2026 : compteur « 2 postes disponibles », les deux à Boucherville, chacun portant une date.

Sert à distinguer les postes de logistique des postes de plancher en magasin, ce que l'indicateur de la KIQ 1.1 exige explicitement. BMR est la seule bannière dont le portail sépare magasins, entrepôts et siège social : sans cette page, la nature des postes de BMR n'est pas observable.

La colonne de date est intitulée « Ouverte » et ne constitue pas une date de publication de l'affichage : elle ne peut pas servir de date du fait, seulement figurer au résumé en étant nommée.

Règle de comparaison adoptée par l'équipe le 8 septembre 2026 : les volumes d'affichages ne se comparent pas en niveau absolu d'une bannière à l'autre. On compare la variation de chaque bannière par rapport à elle-même entre deux relevés à date comparable."
"BMR — emplois siège social","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.bmr.ca/fr/emplois-siege-social","Page officielle des postes au siège social de BMR, à Boucherville. Vérifiée le 8 septembre 2026 : 11 postes, tous en Permanent - Temps plein, chacun portant une date.

Sert à repérer les postes permanents de gestion, distincts des postes saisonniers de plancher, comme l'exige l'indicateur de la KIQ 1.1.

Fragilité technique : le total s'affiche sous forme d'étiquette de filtre, « Permanent - Temps plein (11) », et non sous forme de phrase. Si un poste d'un autre statut s'ajoute, une deuxième étiquette apparaîtra et une extraction naïve ne lirait que la première. La collecte doit additionner toutes les étiquettes de statut.

La colonne de date est intitulée « Ouverte » et ne constitue pas une date de publication de l'affichage.

Règle de comparaison adoptée par l'équipe le 8 septembre 2026 : on compare la variation de chaque bannière par rapport à elle-même, jamais les niveaux absolus entre bannières."
"BMR — fil de communiqués Cision","Secondaire","Moyen","Firecrawl","Hebdomadaire","","https://www.newswire.ca/fr/news/groupe-bmr/","Profil d'organisation GROUPE BMR sur newswire.ca (Cision). Vérifié le 8 septembre 2026.

ATTENTION, DEUX PROFILS DISTINCTS ET NON RELIÉS existent sur la plateforme : « GROUPE BMR » en français, à cette adresse, avec un historique complet de 2010 à 2025; et « BMR Group » en anglais, à newswire.ca/news/bmr-group/, qui ne contient qu'un seul communiqué. C'est la version française qu'il faut surveiller. L'adresse française ne se déduit pas de l'anglaise : le slug est groupe-bmr et non bmr-group.

RÉSERVE MAJEURE SUR LE RENDEMENT : le dernier communiqué date du 21 novembre 2025. Aucun communiqué en 2026. Or BMR a bel et bien annoncé une acquisition à Sainte-Anne-des-Monts cette année, mais sur son propre site d'actualités. BMR n'utilise donc plus ce fil. La source sera probablement muette pendant la fenêtre d'observation. Cadence mensuelle plutôt que bimensuelle en conséquence : elle coûte presque rien et un communiqué d'acquisition y réapparaîtrait.

Biais de sélection : un fil de communiqués ne diffuse que ce que l'entreprise choisit de publier. Il ne lève pas l'angle mort des fermetures.

Limites techniques : aucun flux RSS, aucun filtre par date dans l'adresse, tri du plus récent au plus ancien."
"BMR — page carrières","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.bmr.ca/fr/emplois-en-magasins","Page carrières officielle de BMR : surreprésente les régions et postes en expansion; un poste affiché ne confirme pas une embauche réalisée, et les postes saisonniers de plancher peuvent s'y mêler aux postes permanents de gestion ou de logistique.

Règle de comparaison adoptée par l'équipe le 8 septembre 2026 : les volumes d'affichages ne se comparent pas en niveau absolu d'une bannière à l'autre, parce que les modèles d'affaires et les périmètres de portail diffèrent. On compare la variation de chaque bannière par rapport à elle-même entre deux relevés à date comparable.

Portail vérifié le 8 septembre 2026 : ne liste que les postes de l'entreprise BMR elle-même. Une large part des 275 succursales sont des marchands affiliés indépendants qui recrutent de leur côté, ce qui sous-estime fortement le volume réel du réseau. La colonne de date affichée est intitulée « Ouverte » et ne constitue pas une date de publication de l'affichage : elle ne peut donc pas servir de date du fait."
"BMR — peinture SICO Spécialité 3,78 L (panier fixe)","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.bmr.ca/fr/sico-peinture-sico-cuisine-et-salle-de-bains-doux-blanc-pur-3-78-l-062-6710.html","Page produit officielle BMR, code 062-6710. PRODUIT IDENTIQUE à celui retenu chez RONA : peinture SICO cuisine et salle de bains, fini doux, blanc pur, 3,78 L. C'est la seule ligne du panier fixe où deux bannières portent le même article et non des substituts, ce qui en fait la comparaison la plus solide du dispositif.

Vérifié le 8 septembre 2026 en visiteur anonyme : 49,97 $, disponibilité 29 en stock, succursale Matco St-Léonard servie par défaut. Le même jour, RONA affichait 49,99 $ pour le même produit, soit deux cents d'écart.

La page n'affiche ni prix régulier barré ni date de fin, alors que la circulaire BMR du 3 au 9 septembre annonçait un rabais de 30 % sur la gamme SICO Spécialité à 49,97 $. Caractéristique confirmée sur deux produits BMR : le site affiche le prix courant SANS jamais l'étiqueter comme promotionnel.

Conséquence de collecte : chez BMR, une promotion ne se lit pas dans une étiquette, elle se lit dans la variation entre deux relevés. Un prix qui baisse signale une promotion qui commence, un prix qui remonte signale une promotion qui se termine. La régularité stricte du rythme hebdomadaire est donc indispensable pour cette bannière, sans quoi aucune pression promotionnelle n'est observable.

Réserve de modèle d'affaires : les marchands affiliés indépendants fixent leurs propres prix en succursale; le prix en ligne est une référence unique et non le prix pratiqué partout."
"BMR — presse indépendante (La Presse)","Secondaire","Moyen","Firecrawl","Hebdomadaire","","https://www.lapresse.ca/recherche?q=%22Groupe+BMR%22&p=1&s=date","Recherche par expression exacte dans le moteur interne de La Presse, triée par date. Adresse vérifiée stable en onglet neuf le 8 septembre 2026. Environ 57 résultats.

C'est la requête qui a le mieux performé des quatre bannières lors des tests du 8 septembre 2026 : son résultat le plus récent, « Guerre des prix dans les quincailleries » du 26 février 2026, touche directement la KIQ centrale.

Regard indépendant des enseignes, seule voie du dispositif pour observer une contraction ou une difficulté que BMR n'annoncerait pas.

BIAIS À SURVEILLER : même une expression exacte produit des faux positifs. L'article « Changer de nom pour ses 100 ans » du 9 septembre 2024 contient bien l'expression « Groupe BMR », mais porte en réalité sur le changement de nom de Sollio Groupe coopératif, BMR n'y étant mentionné qu'une fois en passant. Un contrôle humain du contenu, et pas seulement du titre, est obligatoire avant de créer une fiche.

Risque inverse : un article qui écrit « BMR » sans jamais écrire « Groupe BMR » sera exclu par cette requête. Conception à réviser à la première collecte réelle.

Limites techniques : aucun flux RSS, aucun filtre par année, le tri s=date est le seul mécanisme temporel."
"BMR — promotions et soldes","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.bmr.ca/fr/promotions/soldes.html","Page de promotions du site marchand BMR. Vérifiée le 6 septembre 2026 : rend 21 produits avec nom, marque, prix promotionnel, prix régulier et rabais exprimé en dollars ou en pourcentage. Alimente les indicateurs part de voix promotionnelle, profondeur du rabais et largeur de l'assortiment.

Biais majeur à ne jamais omettre : cette page n'est PAS la circulaire. Elle en montre un sous-ensemble orienté vers les produits vendables en ligne, majoritairement agriculture, éclairage et raticides lors du test. Mesurer la largeur de l'assortiment promotionnel sur cette seule base sous-estime fortement la pression promotionnelle réelle de BMR. Source complémentaire à la circulaire, jamais un remplacement.

Un message d'erreur est apparu en pied de rendu lors du test, signe d'un chargement possiblement partiel : vérifier le nombre de produits à chaque collecte et le consigner au Journal."
"BMR — sacs à déchets Maximum (panier fixe)","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.bmr.ca/fr/maximum-sac-a-ordure-entrepreneur-3-mil-noir-32-pqt-001-9971.html","Page produit officielle BMR. Code 001-9971, identique à celui cité dans la circulaire du 3 au 9 septembre 2026 : article repère du panier fixe confirmé. Sac à ordure Entrepreneur MAXIMUM, 3 mil, noir, 32 par paquet.

Vérifié le 8 septembre 2026 en visiteur anonyme : prix 16,97 $, soit exactement le prix promotionnel de la circulaire. Contrairement à la page des sacs RONA, le rabais de la circulaire se reflète bien en ligne chez BMR.

Limite importante : la page n'affiche NI prix régulier barré NI date de fin de promotion. La profondeur et la durée du rabais ne sont donc pas lisibles depuis cette page; elles exigent la circulaire, qui indique un prix suggéré de 21,98 $ et un rabais de 22 %. C'est l'inverse de la page peinture SICO de RONA, qui livre prix courant, prix régulier et date de fin.

Succursale servie par défaut : Matco St-Léonard, Montréal, sans sélecteur visible pour l'utilisateur. Même succursale que celle servie par défaut sur la circulaire BMR.

Disponibilité horodatée sur la page : « 275 en stock en magasin, mis à jour le 8 septembre à 3:00 ».

Réserve de modèle d'affaires : une large part des 275 succursales BMR sont des marchands affiliés indépendants qui fixent leurs propres prix en magasin. La circulaire elle-même parle de « prix suggéré ». Le prix en ligne est donc une référence unique et non le prix pratiqué dans toutes les succursales."
"Canac — aubaines et promotions","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.canac.ca/canac/fr/2/c/AUB","Page Aubaines de Canac, vérifiée le 8 septembre 2026, lue sans résistance par Firecrawl. Prix promotionnel et prix régulier affichés côte à côte, ce qui rend la profondeur du rabais mesurable produit par produit. Aucune date de fin de promotion : la durée n'est pas mesurable ici.

PIÈGE MAJEUR à respecter : les 1847 articles de la section Aubaines mélangent trois types de mises en avant, étiquetées « En circulaire », « Liquidation » et « Spécial ». La liquidation est de l'écoulement de stock, pas de la pression promotionnelle. Pour l'indicateur de largeur de l'assortiment, ne compter QUE les articles étiquetés « En circulaire », jamais le total des aubaines, sous peine de gonfler artificiellement la mesure.

Ces étiquettes alimentent aussi l'indicateur de forme du levier promotionnel, Canac nommant lui-même la nature de chaque mise en avant.

Réserve technique : le robot ne lit que « 50 produits affichés » par requête, avec pagination, alors qu'un utilisateur voit un total de 1847. Compter la largeur exigera une pagination ou un paramètre de taille de page, à tester à l'étape 6.

Magasin /2/, L'Ancienne-Lorette, cohérent avec les trois autres sources Canac de la base."
"Canac — blogue (tient lieu de salle de presse)","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.canac.ca/canac/fr/2/blog?filter=NEWS&page=1","Blogue officiel de Canac : ne publie que les annonces favorables à son image; les fermetures, difficultés ou reculs n'y sont généralement pas annoncés.

Vérifié le 8 septembre 2026 : le blogue comporte un filtre NEWS qui isole la section corporative, 2 éléments contre 77 sans filtre, les deux étant des ouvertures de succursale. Les dates sont affichées au mois près, jamais au jour. Rythme de publication d'environ deux nouvelles par an : la source sera muette la plupart du temps, son intérêt tient à sa spécificité et non à son volume. L'identifiant de succursale dans l'adresse n'influence pas le contenu, vérifié en comparant /2/ et /39/."
"Canac — campagne de recrutement","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://carrieres.canac.ca/","Page d'accueil du site carrières de Canac. Vérifiée le 6 septembre 2026 : porte un bandeau de campagne daté, « Nous embauchons dans nos 31 succursales jusqu'au 26 septembre », que la page des offres d'emploi n'affiche pas.

Complète la source « Canac — page carrières » sans la remplacer : celle-ci donne le volume de postes, celle-là donne les annonces de campagne datées et le nombre de succursales déclaré.

Biais : communication d'employeur destinée au recrutement. Le nombre de succursales annoncé est déclaratif et n'a pas été vérifié contre le localisateur de magasins. Une campagne annoncée ne confirme aucune embauche réalisée."
"Canac — localisateur de succursales","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.canac.ca/canac/fr/2/store-finder","Localisateur officiel des succursales Canac. Sert de terme d'implantation à croiser avec le filtre région du portail d'emploi.

Vérifié le 8 septembre 2026 : lu sans difficulté par Firecrawl. La liste est groupée sous 11 régions administratives affichées en en-tête : Capitale-Nationale, Chaudière-Appalaches, Centre-du-Québec, Mauricie, Estrie, Laval, Montérégie, Laurentides, Lanaudière, Saguenay, Bas-Saint-Laurent. Cette structure la rend directement comparable au filtre région du portail d'emploi, ce qu'aucun autre localisateur ne permet.

ÉCART À VÉRIFIER, NON CONCLUANT : la région Montréal figure dans le filtre du portail d'emploi mais PAS parmi les régions d'implantation du localisateur. C'est le motif exact que l'indicateur cherche, un poste dans une région sans succursale. Mais Canac n'a pas de magasin à Montréal même, sa succursale de Laval servant de représentante du marché montréalais par décision d'équipe. Un poste étiqueté Montréal peut donc désigner un magasin de Laval ou de la Montérégie. À vérifier avant d'en faire un signal.

ÉCART À EXPLIQUER : 37 succursales comptées par l'équipe le 8 septembre 2026, contre 31 annoncées sur la page carrières le 6 septembre 2026. Six d'écart, dans le sens de la croissance.

Avertissement technique : un comptage automatisé a rendu 78 entrées, soit pratiquement le double de 37. Le rendu duplique probablement chaque magasin. Ne pas se fier au dénombrement automatique sans contrôle humain."
"Canac — page carrières","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://carrieres.canac.ca/offres-emplois/?regions=&categories=&types=&succursales=","Page carrières officielle de Canac : surreprésente les régions et postes en expansion; un poste affiché ne confirme pas une embauche réalisée, et les postes saisonniers de plancher peuvent s'y mêler aux postes permanents de gestion ou de logistique.

Règle de comparaison adoptée par l'équipe le 8 septembre 2026 : on compare la variation de chaque bannière par rapport à elle-même entre deux relevés à date comparable, jamais les niveaux absolus entre bannières.

Portail vérifié le 8 septembre 2026 : réseau exploité en propre, sans marchands affiliés, donc le portail reflète l'ensemble du réseau. Liste entièrement rendue sans pagination. Aucune date d'affichage n'est publiée. La liste comporte des intitulés répétés pour une même succursale, qui correspondent vraisemblablement à plusieurs postes à pourvoir.

CORRECTION DU 9 SEPTEMBRE 2026 : l'affirmation « aucun compteur n'est imprimé sur la page » est INVALIDÉE. La première collecte automatisée a relevé la mention « Offres d'emploi actuelles 116 ». Un compteur existe bel et bien. Il devient la valeur de référence; le dénombrement de la liste reste utile comme contrôle croisé.

Référence au 8 septembre 2026 : le filtre Région propose 12 régions administratives (Bas-Saint-Laurent, Centre-du-Québec, Chaudière-Appalaches, Estrie, Lanaudière, Laurentides, Laval, Mauricie, Montérégie, Montréal, Capitale-Nationale, Saguenay). Absentes : Outaouais, Abitibi-Témiscamingue, Côte-Nord, Gaspésie et Îles-de-la-Madeleine, Nord-du-Québec.

Point méthodologique confirmé le 8 septembre 2026 : ce filtre reflète les régions où des postes sont ouverts, et non les régions d'implantation. Pour lire un signal d'implantation, croiser cette liste avec le localisateur de succursales : un poste affiché dans une région où Canac n'exploite aucune succursale constitue le signal fort. Croisement du 9 septembre 2026 : aucun écart, les 12 régions d'embauche couvrent les 11 régions d'implantation."
"Canac — peinture Prima (panier fixe)","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.canac.ca/canac/fr/2/p/peinture-au-latex-d-interieur-prima-mat-blanc-ultime-3-78-l/5011600","Page produit officielle : prix courant affiché pour le magasin sélectionné par défaut sur le site (L'Ancienne-Lorette); peut varier par succursale ailleurs dans la province."
"Canac — presse indépendante (La Presse)","Secondaire","Moyen","Firecrawl","Hebdomadaire","","https://www.lapresse.ca/recherche?q=%22quincaillerie+Canac%22&p=1&s=date","Recherche par expression exacte dans le moteur interne de La Presse, triée par date. Adresse vérifiée stable en onglet neuf le 8 septembre 2026. Environ 11 résultats, le plus récent datant du 18 novembre 2024.

SOURCE CRITIQUE MALGRÉ SON FAIBLE VOLUME : c'est la SEULE source indépendante dont dispose le dispositif pour Canac. Vérification du 8 septembre 2026 : Canac n'a de profil sur aucun fil de communiqués, ni newswire.ca, ni GlobeNewswire, ni Business Wire. Les seules mentions y sont émises par des tiers, un fournisseur de chariots élévateurs et un intégrateur informatique. Et sa salle de presse maison se réduit à deux nouvelles par an. Canac est de loin l'enseigne la plus opaque des quatre, ce qui constitue en soi un constat de veille pour le mandat.

BIAIS : la requête brute « Canac » rend environ 135 résultats mais son premier résultat ne concerne pas l'enseigne, confirmant un bruit important. L'expression exacte « quincaillerie Canac » réduit le bruit mais exclut tout article qui écrirait simplement « Canac ». Conception à réviser à la première collecte réelle si le rendement reste nul.

Limites techniques : aucun flux RSS, aucun filtre par année, tri s=date seul mécanisme temporel."
"Canac — sacs à déchets Green Home (panier fixe)","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.canac.ca/canac/fr/2/p/sacs-a-dechets-ultra-resistants-green-home-noir-33-po-x-48-po-pqt32/11004780","Page produit officielle : prix courant affiché pour le magasin sélectionné par défaut sur le site (L'Ancienne-Lorette); peut varier par succursale ailleurs dans la province."
"Home Depot — localisateur de succursales","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://stores.homedepot.ca/qc/","Répertoire officiel des magasins Home Depot pour le Québec. Sert de terme d'implantation à croiser avec le filtre de villes du portail d'emploi.

Vérifié le 8 septembre 2026 : lu sans difficulté par Firecrawl, contrairement à toutes les autres pages Home Depot du dispositif. Fil d'Ariane « Home Depot Locations in Quebec ».

Limite structurelle : la page liste 20 VILLES et non des magasins. Le détail de chaque succursale exige d'ouvrir la page-ville correspondante, soit 22 succursales au total pour le Québec selon le comptage de l'équipe. La collecte se fait donc en deux temps. Aucun compteur n'est affiché. La page est servie en anglais malgré le segment /qc/.

Villes listées au 8 septembre 2026 : Anjou, Boisbriand, Gatineau, Granby, Greenfield Park, Lachenaie, Laval, Lévis, Montréal, Pointe-Claire, Québec, Saint-Bruno-de-Montarville, Saint-Constant, Saint-Jean-sur-Richelieu, Saint-Jérôme, Sainte-Foy, Sherbrooke, Trois-Rivières, Vaudreuil-Dorion, Victoriaville.

DÉFAUT RÉVÉLÉ PAR LE CROISEMENT : cette liste de 20 villes ne coïncide pas avec les 19 villes énumérées dans l'adresse de la source « Home Depot — page carrières ». Pointe-Claire et Saint-Jean-sur-Richelieu manquent à cette dernière, tandis que St Laurent y figure sans apparaître ici. Un poste affiché à Pointe-Claire ou à Saint-Jean-sur-Richelieu ne serait donc jamais compté, sans erreur visible. À corriger à l'étape 6 en cherchant un filtre au niveau de la province, ou à défaut en revérifiant la liste des villes à chaque collecte."
"Home Depot — page carrières","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://careers.homedepot.ca/fr/emplois?location=%5B%22QC%20-%20Anjou%22%2C%22QC%20-%20Boisbriand%22%2C%22QC%20-%20Gatineau%22%2C%22QC%20-%20Granby%22%2C%22QC%20-%20Greenfield%20Park%22%2C%22QC%20-%20Lachenaie%22%2C%22QC%20-%20Laval%22%2C%22QC%20-%20Montreal%22%2C%22QC%20-%20Quebec%20City%22%2C%22QC%20-%20Sherbrooke%22%2C%22QC%20-%20St%20Laurent%22%2C%22QC%20-%20St.%20Bruno%20de%20Montarville%22%2C%22QC%20-%20St.%20Constant%22%2C%22QC%20-%20St.Jerome%22%2C%22QC%20-%20Ste-Foy%22%2C%22QC%20-%20Trois%20Rivieres%22%2C%22QC%20-%20Vaudreuil%22%2C%22QC%20-%20Victoriaville%22%5D","Page carrières officielle de Home Depot, hébergée sur un domaine distinct (careers.homedepot.ca) : surreprésente les régions et postes en expansion; un poste affiché ne confirme pas une embauche réalisée, et peut inclure des postes hors Québec si aucun filtre régional n'est appliqué.

Règle de comparaison adoptée par l'équipe le 8 septembre 2026 : les volumes d'affichages ne se comparent pas en niveau absolu d'une bannière à l'autre. On compare la variation de chaque bannière par rapport à elle-même entre deux relevés à date comparable.

La sélection du Québec ne s'obtient pas par un filtre de province mais par une énumération explicite de villes dans l'adresse. Les postes de plancher en magasin sont bien inclus. Aucune date d'affichage n'est publiée.

CORRECTION DU 9 SEPTEMBRE 2026 : la fragilité annoncée s'est matérialisée dès la première collecte automatisée. Le portail a répondu « 18 Selected » alors que l'adresse en demandait 19 : une ville était écartée EN SILENCE, sans erreur ni avertissement. L'adresse a été ramenée à 18 villes le 9 septembre 2026 par retrait de « QC - Levis », afin que la demande corresponde à ce que le portail accepte réellement.

À REVÉRIFIER : Lévis figure pourtant au localisateur de succursales de Home Depot. L'intitulé de cette ville diffère peut-être dans le portail d'emploi, ou aucun poste n'y est ouvert. Si des postes y apparaissent sous un autre libellé, ils ne seraient pas comptés.

Compteur relevé le 9 septembre 2026 : « Nous avons trouvé 121 emplois ». Ce chiffre est le point zéro québécois. Les 479 postes cités dans une fiche du 6 septembre 2026 étaient un total canadien et ne sont pas comparables."
"Home Depot — presse indépendante (La Presse)","Secondaire","Moyen","Firecrawl","Hebdomadaire","","https://www.lapresse.ca/recherche?q=%22Home+Depot+Canada%22&p=1&s=date","Recherche par expression exacte dans le moteur interne de La Presse, triée par date. Adresse vérifiée stable en onglet neuf le 8 septembre 2026. Environ 22 résultats, le plus récent datant du 14 avril 2025.

Seule source indépendante du dispositif pour Home Depot. Sa salle de presse maison et son profil Cision ne publient que du contenu de fondation, d'embauche saisonnière et de rapport ESG, sans aucune annonce d'ouverture, de fermeture, d'agrandissement ou d'acquisition, vérifié le 8 septembre 2026. Le profil Cision de Home Depot Canada a d'ailleurs été écarté du dispositif pour redondance avec la page relations médias, à rendement nul.

Rendement attendu faible : la couverture de La Presse sur cette enseigne est mince et ancienne. La mention la plus proche d'un signal de contraction, « COVID-19, fermetures chez de grandes chaînes au Canada » du 18 mars 2020, concerne des fermetures temporaires de pandémie touchant plusieurs chaînes, pas une fermeture définitive de succursale Home Depot.

BIAIS : l'expression exacte « Home Depot Canada » exclut tout article qui écrirait simplement « Home Depot ». Conception à réviser à la première collecte réelle.

Limites techniques : aucun flux RSS, aucun filtre par année, tri s=date seul mécanisme temporel."
"Home Depot — relations médias (tient lieu de salle de presse)","Primaire","Fiable","Firecrawl","Hebdomadaire","","https://www.homedepot.ca/fr/accueil/information-sur-l-entreprise/relations-avec-les-medias.html","Page de relations médias officielle de Home Depot : ne publie que les annonces favorables à son image; les fermetures, difficultés ou reculs n'y sont généralement pas annoncés.

Vérifié le 8 septembre 2026 : la page liste n'affiche aucune date, mais chaque communiqué en porte une sur sa propre page, par exemple « le 12 juin 2025 ». La collecte se fait donc en deux temps, liste puis communiqué. Les adresses sont rangées par année (/2025/, /2026/), ce qui permet de ne rouvrir que les communiqués de l'année en cours. Contenu majoritairement consacré à la Fondation et à des annonces hors Québec; les annonces d'ouverture de magasin y figurent toutefois, ce qui justifie de conserver la source malgré son faible rendement québécois."
