numero_journal,date_heure_utc,connecteur,source,elements_retenus,erreurs
"55","2026-09-09T16:06:00Z","Apify","Avis publics — Canac Laval (Montréal)","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify. Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06. 20 avis retenus (6-9 sept. 2026), 13 comportent du texte codable (65 %), 7 sans texte. Une fiche créée."
"56","2026-09-09T16:06:00Z","Apify","Avis publics — BMR Château-Richer Raymond Boies (région de Québec)","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify. Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06 (place_id ChIJZcp5XsO3uEwRHPCSBcDhBTE, conforme à l'adresse corrigée le 6 septembre 2026). Aucun avis publié dans la fenêtre : 0 avis retenu. Rappel : succursale semi-rurale à 46 km de Québec, non comparable aux trois autres bannières de l'échantillon de Québec. Une fiche créée (fait négatif : absence d'avis)."
"57","2026-09-09T16:06:00Z","Apify","Avis publics — Home Depot Trois-Rivières","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify. Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06. 2 avis retenus (6 sept. 2026), les 2 comportent du texte codable. Une fiche créée."
"58","2026-09-09T16:06:00Z","Apify","Avis publics — BMR PRO Pierre Naud (Trois-Rivières)","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify. Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06. Aucun avis publié dans la fenêtre : 0 avis retenu. Rappel : cette succursale ne compte que 65 avis au total contre 625 à 3129 ailleurs dans l'échantillon — un seul avis y pèse dix à quarante-huit fois plus lourd; ne jamais interpréter une variation isolée ici. Une fiche créée (fait négatif : absence d'avis)."
"59","2026-09-09T16:06:00Z","Apify","Avis publics — RONA+ Marché Central (Montréal)","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify. Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06. Aucun avis publié dans la fenêtre : 0 avis retenu. Une fiche créée (fait négatif : absence d'avis)."
"60","2026-09-09T16:06:00Z","Apify","Avis publics — Canac L'Ancienne-Lorette (Québec)","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify. Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06. 4 avis retenus (7-9 sept. 2026), 2 comportent du texte codable, 2 sans texte. Une fiche créée."
"61","2026-09-09T16:06:00Z","Apify","Avis publics — Canac Récollets (Trois-Rivières)","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify. Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06. 3 avis retenus (8-9 sept. 2026), les 3 comportent du texte codable. Une fiche créée."
"62","2026-09-09T16:06:00Z","Apify","Avis publics — RONA+ Trois-Rivières","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify. Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06. 1 avis retenu (8 sept. 2026), sans texte (non codable). Une fiche créée."
"63","2026-09-09T16:06:00Z","Apify","Avis publics — Home Depot Québec (Bouvier)","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify. Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06. 2 avis retenus (8 sept. 2026), 1 comporte du texte codable, 1 sans texte. Une fiche créée."
"64","2026-09-09T16:06:00Z","Apify","Avis publics — Home Depot Beaubien Ouest (Montréal)","1","REPRISE RÉUSSIE après reconnexion du connecteur Apify. Acteur compass/crawler-google-places, exécution <ID>, fenêtre reviewsStartDate=2026-09-06. 1 avis retenu (6 sept. 2026), sans texte (non codable). Une fiche créée."
